organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Brevundimonas sp.,117,ILLUMINA,WGS,20021662.0,2026-2026
Pseudomonas veronii,280,DNBSEQ; OXFORD_NANOPORE,WGS,5181441575.0,2025-2026
Ralstonia sp.,22,DNBSEQ; ILLUMINA,WGA; WGS,1393682310.0,2025-2025
Remotididymella sp.,0,,,,
Psychrobacter sp.,67,ILLUMINA; OXFORD_NANOPORE,WGS,6961882631.0,2026-2026
Rhizopus delemar,211,ILLUMINA,WGS,58830336345.0,2025-2026
Rhizopus nigricans,80,OXFORD_NANOPORE,AMPLICON,20558564.0,2026-2026
Rhizobacter gummiphilus,16,ILLUMINA,RNA-Seq,14638136444.0,2025-2025
Cephalosporium sp.,0,,,,
Chaetomium murorum,0,,,,
Pseudomonas oceani,1,OXFORD_NANOPORE,WGS,778086816.0,2026-2026
Pseudomonas pelagia,1,ILLUMINA,WGS,7259.0,2017-2017
Azospirillum brasilense,46,ILLUMINA; OXFORD_NANOPORE,WGS,3796092270.0,2024-2026
Azotobacter vinelandii,99,ILLUMINA,Tn-Seq; WGS,7925707612.0,2025-2026
Bacillus sp. SB14,0,,,,
Bacillus megaterium,679,ILLUMINA,WGS,477915.0,2026-2026
Aspergillus clavatus,10,ABI_SOLID; CAPILLARY,AMPLICON; WGA,150485441.0,2020-2024
