organism,pubmed_plastic_count,pubmed_total_count
Enterobacter ludwigii,79.0,150.0
Dichomitus squalens,,77.0
Dichostereum effuscatum,0.0,1.0
Didymella pinodella,0.0,8.0
Didymella sp.,6.0,14.0
Diutina rugosa,84.0,107.0
Enterovibrio sp.,8.0,14.0
Epicoccum dendrobii,3.0,4.0
Epicoccum duchesneae,0.0,0.0
Epicoccum sorghinum,8.0,36.0
Epicoccum tritici,0.0,
Escherichia coli,296146.0,465683.0
Embarria clematidis,1.0,1.0
Enterobacter agglomerans,134.0,388.0
Neocamarosporium sp.,1.0,5.0
Neodidymelliopsis longicolla,0.0,1.0
Neodidymelliopsis sp.,1.0,1.0
Mucor circinelloides,377.0,620.0
Murilentithecium clematidis,28.0,
Mycena galericulata,2.0,5.0
Coniochaeta hoffmannii,3.0,12.0
Coniochaeta sp.,17.0,24.0
Neosetophoma rosigena,1.0,1.0
Neosetophoma sp.,2.0,3.0
Nesiotobacter exalbescens,,4.0
Nia vibrissa,0.0,2.0
Mycosphaerella lateris,0.0,0.0
Myrothecium gramineum,,9.0
Neisseria sp.,43.0,115.0
Neocamarosporium solicola,0.0,0.0
Novosphingobium sp.,101.0,
Ochrobactrum intermedium,64.0,120.0
Penicillium janthinellum,123.0,177.0
Penicillium pinophilum,45.0,60.0
Penicillium polonicum,39.0,104.0
Penicillium restrictum,15.0,24.0
Penicillium crustosum,110.0,176.0
Penicillium daleae,7.0,12.0
Ophiosimulans tanaceti,15.0,41.0
Oscillatoria subbrevis,1.0,4.0
Paecilomyces lilacinus,93.0,361.0
Nocardiopsis sp.,,154.0
Nodulosphaeria multiseptata,0.0,0.0
Nonomuraea fastidiosa,2.0,3.0
Nonomuraea terrinata,0.0,1.0
Nothophoma quercina,1.0,11.0
Paractinoplanes rishiriensis,0.0,0.0
Paractinoplanes tereljensis,0.0,0.0
Paradendryphiella arenariae,0.0,4.0
Paenibacillus macerans,64.0,84.0
Paenibacillus urinalis,1.0,4.0
Panaeolus sphinctrinus,2.0,5.0
Paracoccus aminophilus,,21.0
Ochrobactrum oryzae,5.0,7.0
Dermacpccis sp.,152995.0,433793.0
Mycena sanguinolenta,0.0,1.0
